ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err
2020,2020 Bulkers,Industrials,57.8,57.4,57.8,33,,1281.48,0.014,0.0105,0.0433,-0.3348,-0.1551,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,57.0,57.8,55.079712,0.002894737,2.2674,,58.4,,8738.0,,57.0,54.97646999999999,0.165,57.8,,8738.0,,,,1.86,1581552000.0,1.07216,,,57.2,2.0,NOK,10925.0,,,,1281478016.0,,,29474.0,75.8271,57.2,57.8,,,10925.0,93.8,,,,39.0,57.6,False,0.0328,,58.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,85.54700000000001,,0.07692,,-0.24266666,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.18708742,9.346701,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1445741696.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4.0,947.54095,,,,,,
FIVEPG,5th Planet Games,Communication services,1.86,1.86,1.87,440,LP,197.22,-0.0339,-0.0288,0.3345,5.350599999999999,2.0915,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,,1.92,1.9,1.2584089,,0.0,,1.91,,4262813.0,,1.92,1.7279538,,1.9,,4262813.0,,,,,,2.714866,,,1.825,4.0,NOK,1724844.0,,,,197751488.0,,,4882506.0,,1.825,1.87,,0.0,1724844.0,3.8,,,,0.25,1.86,False,,0.0,1.91,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.7887325,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.18708742,10.689655,0.50402,1640908800.0,1577750400.0,,,46798691.0,106397296.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16.0,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,112.0,117.0,0,LP,115.59,,,0.0179,-0.0514,0.07339999999999999,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",ÃÂsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,,114.0,114.0,119.94203,0.07017544,1.0156,,114.0,,2.0,,114.0,113.14706000000001,8.0,114.0,,2.0,,,,8.0,1583798400.0,0.40223000000000003,,,114.0,2.0,NOK,0.0,,,,115585744.0,,,37.0,1.1200169,114.0,116.0,,,0.0,153.0,,,,105.0,112.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0.0,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.18708742,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,3.0497591,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.57,4.56,4.57,59,,2015.27,0.0044,0.0518,0.029300000000000007,0.2146,0.5144,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,7th floor,4.55,4.55,3.8222826000000003,0.048351645,0.8062,,4.575,,243116.0,,4.55,4.3311763,0.22,4.55,,243116.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.515,4.0,NOK,249525.0,,,,2015274112.0,,,436179.0,1.4258846,4.515,4.57,,185000.0,249525.0,4.58,10.627907,,10.54,2.69,4.555,False,0.0484,340000.0,4.575,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.104,,0.17288,,0.39318883,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.18708742,3.0609512000000003,0.18238,1640908800.0,1593475200.0,,,342568196.0,1560404736.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,275.0,9.956428,,,,,,
ADE,Adevinta,Communication services,155.3,155.2,155.4,2197,,106358.68,0.0111,-0.0425,0.5839,0.4933,0.499,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,,153.6,158.5,105.06341,,0.0,,158.5,,691252.0,,153.6,123.70735,,158.5,,691252.0,,,,,,,,,154.2,2.0,NOK,362153.0,,,,106495737856.0,,,428953.0,,154.2,155.4,,,362153.0,168.2,,,,66.7,155.3,False,,,158.5,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5136453,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.18708742,,0.66005,1640908800.0,1593475200.0,,,227972750.0,101721497600.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564.0,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.1,18.0,18.1,15,,423.36,0.0028000000000000004,-0.0109,-0.0321,-0.2561,0.092,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.05,18.0,21.944202,,0.4088,,18.15,,60964.0,,18.05,18.666176,,18.0,,60964.0,,,,4.21,1591228800.0,,,,18.0,2.0,NOK,16431.0,,,,423364448.0,,,80128.0,,18.0,18.1,,,16431.0,33.4,,,,16.1,18.0,False,0.2313,,18.15,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.016216158999999997,,,,23390300.0,,,,,,,,0.09734,,,,0.18708742,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,,
AEGA,Aega,Utilities,1.3,1.3,1.34,13,,62.47,-0.0152,-0.0152,0.0833,0.1207,0.0231,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,,1.32,1.4,1.2347826000000002,0.0030303032,,,1.4,,38304.0,,1.32,1.2435294,0.004,1.4,,38304.0,,,,0.04,1591142400.0,-0.700348,,,1.26,4.0,NOK,13735.0,,,,62466036.0,,,52213.0,,1.26,1.34,,394100.0,13735.0,1.85,,,,1.05,1.3,False,0.0299,60000.0,1.4,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.04285711,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.18708742,7.878786999999999,0.46798,1640908800.0,1585612800.0,,,24350240.0,63427100.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,2.0,,,,,,,
AFG,AF Gruppen,Industrials,174.8,174.6,175.0,70,,18355.57,-0.0034,-0.0034,-0.0289,0.0301,0.142,0663,Industrials,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,,175.4,175.0,167.33986000000002,0.054161917000000004,1.0266,,175.0,,7651.0,,175.4,177.4,9.5,175.0,,7651.0,,,,12.0,1589760000.0,0.43902399999999997,,,174.0,2.0,NOK,6987.0,,,,18355572736.0,,,18690.0,0.7661563,174.0,175.0,,178000.0,6987.0,185.0,20.834326,,5.43,124.5,174.6,False,0.0684,52100.0,175.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.804,,0.03506,14.8,0.0996865,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.18708742,7.8692660000000005,0.60915,1640908800.0,1585612800.0,,,40215335.0,19269640192.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,5526.0,21.169916,,,,,,
AKA,Akastor,Energy,6.55,6.56,6.6,109,,1779.04,0.0364,0.0935,0.2919,-0.341,-0.4099,1366,Energy,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,OksenÃ¸yveien 10 Lysaker,6.32,6.45,5.575652,,0.0,,6.67,,423388.0,,6.32,5.4042650000000005,,6.45,,423388.0,,,,,1397174400.0,1.36353,,,6.39,2.0,NOK,158526.0,,,,1779045504.0,,,485530.0,0.31415248,6.39,6.62,,52200.0,158526.0,12.4,16.375,,,3.52,6.54,False,,227000.0,6.67,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.7070000000000001,,-0.0498,12.873,-0.39509803,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.18708742,0.440929,0.51141,1640908800.0,1593475200.0,,,136612714.0,4003428608.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,2112.0,,,,,,,
AKER,Aker,Financials,421.4,421.0,421.6,790,,31298.54,0.005699999999999999,0.0238,0.213,-0.2006,0.018500000000000003,1366,Energy,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,,419.4,417.6,346.42972000000003,0.028016212999999998,0.0,,426.0,,119692.0,,419.4,379.74118,11.75,417.6,,119692.0,,,,11.75,1595289600.0,1.71777,,,412.2,2.0,NOK,66981.0,,,,31283703808.0,,,199025.0,0.66409886,412.2,421.8,,111700.0,66981.0,566.0,16.045714999999998,,,182.2,421.0,False,0.027999998999999998,108400.0,426.0,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.912,,-0.08871,35.23,0.04395604,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.18708742,1.6752043999999997,0.70268,1640908800.0,1593475200.0,,,67696448.0,90046799872.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,21865.0,,47 24 13 01 01,,,,,
