ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
AASB-ME,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,114,114,121.01439,0.07017544,1.0156,,114,,27,,114,113.67647,8,114,,27,,,,8,1583798400,0.401681,,,114,2,NOK,3.0497591,100,,,,115585744,,,42,1.1200169,114,136,,,100,153,,,,105,111,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,-0.042016804,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.107150316,0.23471665,0,1640908800,1585612800,,,553343,729858112,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,,
2020,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,56.4,57.2,56.756836,0.002925532,2.2674,,57.2,,13753,,56.4,54.735294,0.165,57.2,,13753,,,,1.86,1581552000,1.07216,,,57,2,NOK,927.86884,1052,,,,1254872960,,,30571,74.25284,57,57,,,1052,93.8,,,,39,56.6,False,0.0326,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,84.76,,0.07692,,-0.24000001,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.107150316,9.152652,0.57717997,1640908800,1585612800,,,9024667,1432439040,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4,2nd Floor 9 Par-la-Ville Road,,,,,
ADSC-ME,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,18.2,18.2,22.743166,,0.4088,,18.45,,29039,,18.2,19.085295,,18.2,,29039,,,,4.21,1591228800,,,,18.2,2,NOK,,4455,,,,425703488,,,110673,,18.2,18.4,,,4455,33.4,,,,16.1,18.25,False,0.2288,,18.45,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.11538458,,,,23390300,,,,,,,,0.09734,,,,0.107150316,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,22 Amathountos Agios Tychonas,,,,,
ASC,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,,Capital Markets,4.13,4.13,3.8114028,0.053268764,0.8062,,4.2,,162880,,4.13,4.285441,0.22,4.13,,162880,,,,0.22,1588118400,0.98372,,,4.105,4,NOK,9.106753,124373,,,,1843292160,,,469832,1.3042008,4.105,4.17,,185000,124373,4.58,9.72093,,10.49,2.69,4.15,False,0.0533,340000,4.2,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,0.973,,0.17288,,0.1988796,,0.43,,440979008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.107150316,2.799732,0.18238,1640908800,1593475200,,,348806080,1375382784,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,275,7th floor,,,,,
FIVEPG,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,,Electronic Gaming & Multimedia,2.08,2.11,1.1474707,,0,,2.18,,4641098,,2.08,1.7838362,,2.11,,4641098,,,,,,2.679069,,,2.08,4,NOK,,1354962,,,,164994496,,,6221016,,2.08,2.14,,0,1354962,3.8,,,,0.25,2.13,False,,0,2.18,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.372093,,,,77462200,,,0.174,,,,1577750400,0,,-0.118,,0.107150316,12.241381,0.50402,1640908800,1577750400,,,41707742,109621464,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16,,,,,,
AKBM-ME,1327,Healthcare,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,Oksenoyveien 10,47 24 13 01 10,Drug Manufacturers—Specialty & Generic,88,87,,,,,89.56,,,,88,,,87,,,,,,,,,,,87,2,NOK,,28333,,,,,,,,,87,89.56,,,28333,89.56,,,,87,89.5,False,,,89.56,OSL,AKER BIOMARINE AS,Aker BioMarine ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,40.321,,-0.00658,189.592,,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.107150316,34.569332,,1609372800,1514678400,,,14611039,6263156224,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,,PO Box 496,,,,,
ADE,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,148.2,149,102.06943,,0,,151.9,,899286,,148.2,108.87941,,149,,899286,,,,,,,,,144,2,NOK,,207376,,,,98893783040,,,376079,,144,144.8,,,207376,160.2,,,,66.7,144.4,False,,,151.9,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.43786418,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.107150316,,0.66005,1640908800,1593475200,,,223708700,97005502464,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564,,,,,,
AEGA,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.34,1.34,1.2241007,0.0029850747,,,1.34,,146081,,1.34,1.2120588,0.004,1.34,,146081,,,,0.04,1591142400,-0.703488,,,1.25,4,NOK,,31299,,,,61985532,,,51413,,1.25,1.32,,394100,31299,1.85,,,,1.05,1.29,False,0.031,60000,1.34,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.16233766,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.107150316,7.8181815,0.46798,1640908800,1585612800,,,24350240,64388116,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,2,,,,,,
AQUA,0161,Energy,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,,Oil & Gas Equipment & Services,4.6,4.56,3.6996403,0.0010869565,0,,4.7,,20570,,4.6,4.142941,0.005,4.56,,20570,,,,0.2,1591833600,1.040697,,,4.56,4,NOK,23.383083,2409,,,,330487072,,,46149,4.97744,4.56,4.7,,385400,2409,5,33.571426,,,2.15,4.6,False,0.0435,402100,4.7,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,4.789,,0.18611999,189.623,0.14999998,,0.14,,70316400,,,0.686,,,,1577750400,0.07898,12358000,0.201,,0.107150316,6.8513117,0.58599,1640908800,1585612800,,,20787638,317998016,,,,,,,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,431,,,,,,
ARCHER,HM 08,Energy,"Archer Limited, an oilfield service company, provides various oilfield products and services to the oil and gas industry. It operates through two segments, Eastern Hemisphere and Western Hemisphere. The company provides oiltools, such as plugs and abandonment (P&A), slot recovery and P&A, cementing, and well cleaning solutions; land drilling and platform drilling services; and modular drilling rigs. It also offers engineering services, such as project management, construction and installations, multidiscipline engineering, consulting, and inspection services. In addition, the company provides cased hole logging, conveyance and mechanical/slickline, and R&D and technology development services. Further, it offers fluids, guarantor, international personnel, management, and equipment rental services, as well as performs rig inspections. The company operates in Angola, Argentina, Australia, Bolivia, Brazil, Canada, Congo, Indonesia, Malaysia, Nigeria, Norway, Saudi Arabia, the United Arab Emirates, the United Kingdom, and the United States. The company was formerly known as Seawell Limited and changed its name to Archer Limited in May 2011. Archer Limited was founded in 2007 and is based in Hamilton, Bermuda.",Hamilton,,Bermuda,[],http://www.archerwell.com,1,Par la Ville Place,,Oil & Gas Drilling,2.03,2.035,2.2941222,,0,,2.13,,224831,,2.03,2.210441,,2.035,,224831,,,,,,2.852906,,,2.035,4,NOK,,105315,,,,310852480,,,522295,0.37290365,2.035,2.1,,100400,105315,4.78,35,,,1.1,2.09,False,,503000,2.13,OSL,ARCHER LTD,Archer Limited,Europe/Oslo,CEST,False,7200000,EQUITY,ARCHER.OL,finmb_37612323,no_market,,1.111,,-0.05722,9.817,-0.52444446,,0.06,,148024992,,,0.732,,,,1577750400,0.12627,-47700000,-0.323,,0.107150316,2.8688524,0.41856998,1640908800,1577750400,,,105861885,925742080,,1443398400,1:10,,,,,,,,,,,https://logo.clearbit.com/archerwell.com,4964,4th Floor 14 Par-la-Ville Road,,,,,
ABT,1366,Healthcare,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",Lysaker,,Norway,[],http://www.aquabiotechnology.com,1,Fornebuveien 37,,Biotechnology,4.5,4.42,3.0476978,0.22222222,0,,4.92,,33846,,4.5,4.937647,1,4.42,,33846,,,,,1496880000,1.24593,,,4.42,4,NOK,,28912,,,,72784592,,,154232,56.19607,4.42,4.8,,320000,28912,7.55,-8.777777,,,1.25,4.74,False,,330000,4.92,OSL,AQUA BIO TECHNOLOG,Aqua Bio Technology ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ABT.OL,finmb_39453852,no_market,,48.042,,0,-4.785,1,,-0.54,,15355400,,,0.477,,,,1577750400,0.02359,-13215518,-1.03,,0.107150316,9.937106,0.80484,1640908800,1577750400,,,1905450,62223604,,1309132800,1:20,,,,,,,,,,,https://logo.clearbit.com/aquabiotechnology.com,,,,,,,
ANDF-ME,8400,Consumer Defensive,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,,Farm Products,55.7,55.8,,,0,,56.5,,,,55.7,,,55.8,,,,,,,,,,,55.05,2,NOK,,7806,,,,1866490368,,,,1133.5896,55.05,56.5,,,7806,56.5,,,,55.05,55.51,False,,,56.5,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1050.529,,0,-215.933,,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.107150316,11.296296,,1640908800,,,,,1729727744,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,8402 Sortland,,,,,
